code,label,parent
real_estate_agent,Real Estate Agent,real_estate_service
health_care,Health Care,
christian_place_of_worship,Christian Place Of Worship,place_of_worship
restaurant,Restaurant,food_and_drink
social_or_community_service,Social Or Community Service,community_and_government
historic_site,Historic Site,cultural_and_historic
automotive_repair,Automotive Repair,automotive_service
beauty_salon,Beauty Salon,personal_or_beauty_service
hair_salon,Hair Salon,personal_or_beauty_service
professional_service,Professional Service,services_and_business
doctors_office,Doctors Office,diagnostics_imaging_or_lab_service
park,Park,sports_and_recreation
gas_station,Gas Station,fueling_station
contractor,Contractor,home_service
pizza_restaurant,Pizza Restaurant,italian_restaurant
atm,Atm,financial_service
gym,Gym,sport_or_fitness_facility
real_estate_service,Real Estate Service,services_and_business
insurance_agency,Insurance Agency,financial_service
government_office,Government Office,community_and_government
dental_clinic,Dental Clinic,outpatient_care_facility
nail_salon,Nail Salon,personal_or_beauty_service
grocery_store,Grocery Store,food_and_beverage_store
convenience_store,Convenience Store,shopping
spa,Spa,wellness_service
shopping,Shopping,
fast_food_restaurant,Fast Food Restaurant,casual_eatery
clothing_store,Clothing Store,fashion_and_apparel_store
auto_dealer,Auto Dealer,vehicle_dealer
bank_or_credit_union,Bank Or Credit Union,financial_service
money_transfer_service,Money Transfer Service,financial_service
attorney_or_law_firm,Attorney Or Law Firm,legal_service
mexican_restaurant,Mexican Restaurant,latin_american_restaurant
massage_therapy,Massage Therapy,wellness_service
coffee_shop,Coffee Shop,non_alcoholic_beverage_venue
financial_service,Financial Service,services_and_business
barber,Barber,personal_or_beauty_service
farm,Farm,agricultural_service
hotel,Hotel,lodging
chiropractic,Chiropractic,complementary_and_alternative_medicine
geographic_entities,Geographic Entities,
liquor_store,Liquor Store,food_and_beverage_store
party_and_event_planning,Party And Event Planning,event_or_party_service
home_health_care,Home Health Care,medical_service
elementary_school,Elementary School,school
outpatient_care_facility,Outpatient Care Facility,health_care
religious_organization,Religious Organization,cultural_and_historic
mobile_phone_store,Mobile Phone Store,electronics_store
auto_parts_store,Auto Parts Store,vehicle_parts_store
physical_therapy,Physical Therapy,physical_medicine_and_rehabilitation
bar,Bar,alcoholic_beverage_venue
jewelry_store,Jewelry Store,fashion_and_apparel_store
lake,Lake,water_feature
landscaping,Landscaping,home_service
flowers_and_gifts_store,Flowers And Gifts Store,specialty_store
home_service,Home Service,services_and_business
bakery,Bakery,casual_eatery
furniture_store,Furniture Store,hardware_home_and_garden_store
sandwich_shop,Sandwich Shop,casual_eatery
american_restaurant,American Restaurant,north_american_restaurant
charity_organization,Charity Organization,civic_organization
building_supply_store,Building Supply Store,hardware_home_and_garden_store
italian_restaurant,Italian Restaurant,mediterranean_restaurant
building_or_construction_service,Building Or Construction Service,services_and_business
hvac_service,Hvac Service,home_service
pharmacy,Pharmacy,pharmacy_and_drug_store
travel_service,Travel Service,travel_and_transportation
hospital,Hospital,health_care
womens_clothing_store,Womens Clothing Store,clothing_store
printing_service,Printing Service,services_and_business
community_and_government,Community And Government,
mountain,Mountain,land_feature
trusts,Trusts,financial_service
martial_arts_club,Martial Arts Club,sport_or_recreation_club
property_management,Property Management,real_estate_service
college_university,College University,place_of_learning
retirement_home,Retirement Home,senior_living_facility
cafe,Cafe,casual_eatery
self_storage_facility,Self Storage Facility,storage_facility
discount_store,Discount Store,shopping
optometry,Optometry,vision_or_eye_care_clinic
chinese_restaurant,Chinese Restaurant,east_asian_restaurant
lodging,Lodging,
general_dentistry,General Dentistry,dental_clinic
mortgage_broker,Mortgage Broker,financial_service
art_gallery,Art Gallery,arts_and_crafts_space
arts_and_entertainment,Arts And Entertainment,
preschool,Preschool,school
sports_and_recreation,Sports And Recreation,
tattoo_and_piercing,Tattoo And Piercing,body_modification
obstetrics_and_gynecology,Obstetrics And Gynecology,reproductive_perinatal_and_womens_care
home_cleaning,Home Cleaning,home_service
school,School,place_of_learning
propane_supplier,Propane Supplier,supplier_or_distributor
ice_cream_shop,Ice Cream Shop,dessert_shop
public_health_clinic,Public Health Clinic,primary_care_or_general_clinic
veterinarian,Veterinarian,veterinary_care
corporate_or_business_office,Corporate Or Business Office,services_and_business
naturopathic_medicine,Naturopathic Medicine,complementary_and_alternative_medicine
software_development,Software Development,technical_service
auto_body_shop,Auto Body Shop,automotive_service
casino,Casino,gaming_venue
marketing_agency,Marketing Agency,professional_service
roofing,Roofing,ceiling_and_roofing_repair_and_service
electrician,Electrician,home_service
industrial_equipment_manufacturer,Industrial Equipment Manufacturer,machinery_and_tool_manufacturer
it_service_and_computer_repair,It Service And Computer Repair,technical_service
dance_studio,Dance Studio,sport_or_fitness_facility
accountant,Accountant,financial_service
plumbing,Plumbing,home_service
electronics_store,Electronics Store,specialty_store
advertising_agency,Advertising Agency,professional_service
medical_spa,Medical Spa,spa
car_wash,Car Wash,automotive_service
shoe_store,Shoe Store,fashion_and_apparel_store
fire_station,Fire Station,public_safety_service
civic_organization,Civic Organization,community_and_government
pet_store,Pet Store,animal_and_pet_store
hardware_store,Hardware Store,hardware_home_and_garden_store
financial_advising,Financial Advising,financial_service
day_care_preschool,Day Care Preschool,child_care_and_day_care
used_auto_dealer,Used Auto Dealer,auto_dealer
pet_groomer,Pet Groomer,pet_care_service
delicatessen,Delicatessen,casual_eatery
behavioral_or_mental_health_clinic,Behavioral Or Mental Health Clinic,outpatient_care_facility
second_hand_store,Second Hand Store,shopping
sporting_goods_store,Sporting Goods Store,specialty_store
beach,Beach,land_feature
music_venue,Music Venue,performing_arts_venue
burger_restaurant,Burger Restaurant,meat_restaurant
cardiology,Cardiology,cardiovascular_and_vascular_medicine
pediatric_clinic,Pediatric Clinic,outpatient_care_facility
tobacco_shop,Tobacco Shop,food_and_beverage_store
bar_and_grill_restaurant,Bar And Grill Restaurant,restaurant
auto_detailing,Auto Detailing,automotive_service
library,Library,education
home_improvement_store,Home Improvement Store,hardware_home_and_garden_store
