city,state_id,lat,lng,population
Houston,TX,29.7860,-95.3885,2319119
San Antonio,TX,29.4632,-98.5238,1479021
Dallas,TX,32.7935,-96.7667,1300642
Austin,TX,30.3005,-97.7522,961855
Fort Worth,TX,32.7817,-97.3474,935508
El Paso,TX,31.8476,-106.4300,678815
Arlington,TX,32.6998,-97.1250,394266
Corpus Christi,TX,27.7254,-97.3767,317863
Plano,TX,33.0502,-96.7487,285494
Lubbock,TX,33.5657,-101.8879,257141
Laredo,TX,27.5625,-99.4874,255205
Irving,TX,32.8583,-96.9702,256684
Garland,TX,32.9100,-96.6305,246018
Frisco,TX,33.1560,-96.8216,219587
McKinney,TX,33.2016,-96.6669,207507
Amarillo,TX,35.1984,-101.8316,200393
Grand Prairie,TX,32.6871,-97.0208,196100
Brownsville,TX,25.9975,-97.4573,189382
Killeen,TX,31.0753,-97.7297,153095
Pasadena,TX,29.6583,-95.1505,148626
Mesquite,TX,32.7629,-96.5888,150108
McAllen,TX,26.2252,-98.2467,144579
Denton,TX,33.2166,-97.1414,139869
Waco,TX,31.5601,-97.1860,139236
Round Rock,TX,30.5254,-97.6660,123873
Tyler,TX,32.3184,-95.3062,106985
College Station,TX,30.5852,-96.2960,120019
Abilene,TX,32.4543,-99.7384,125070
Beaumont,TX,30.0849,-94.1451,112556
Odessa,TX,31.8801,-102.3448,114428
New Braunfels,TX,29.6994,-98.1148,104707
Conroe,TX,30.3239,-95.4778,98081
Jacksonville,FL,30.3322,-81.6749,949611
Miami,FL,25.7840,-80.2101,442241
Tampa,FL,27.9945,-82.4447,384959
Orlando,FL,28.4773,-81.3370,307573
St. Petersburg,FL,27.7931,-82.6652,258308
Port St. Lucie,FL,27.2796,-80.3884,217523
Cape Coral,FL,26.6443,-81.9957,204510
Hialeah,FL,25.8696,-80.3046,223109
Tallahassee,FL,30.4551,-84.2527,196169
Fort Lauderdale,FL,26.1412,-80.1464,182760
Pembroke Pines,FL,26.0128,-80.3382,171178
Hollywood,FL,26.0293,-80.1679,153067
Gainesville,FL,29.6804,-82.3458,141085
Miramar,FL,25.9773,-80.3358,134721
Coral Springs,FL,26.2702,-80.2591,134394
Palm Bay,FL,27.9631,-80.6593,119760
West Palm Beach,FL,26.7469,-80.1316,117415
Clearwater,FL,27.9789,-82.7666,117292
Lakeland,FL,28.0555,-81.9498,112641
Pompano Beach,FL,26.2426,-80.1290,112046
Davie,FL,26.0789,-80.2870,106306
Boca Raton,FL,26.3752,-80.1080,97422
Sarasota,FL,27.3387,-82.5432,57602
Fort Myers,FL,26.6194,-81.8302,86395
Kissimmee,FL,28.3041,-81.4169,79226
Ocala,FL,29.1872,-82.1401,63591
Atlanta,GA,33.7628,-84.4220,499127
Columbus,GA,32.5100,-84.8771,206922
Augusta,GA,33.3645,-82.0708,202081
Macon,GA,32.8065,-83.6974,157346
Savannah,GA,32.0286,-81.1821,147780
Athens,GA,33.9508,-83.3689,127315
Sandy Springs,GA,33.9366,-84.3703,108080
South Fulton,GA,33.6273,-84.5800,107436
Roswell,GA,34.0391,-84.3513,92833
Johns Creek,GA,34.0333,-84.2027,82453
Warner Robins,GA,32.5961,-83.6527,80308
Albany,GA,31.5776,-84.1762,68089
Alpharetta,GA,34.0704,-84.2739,65818
Marietta,GA,33.9533,-84.5422,60867
Valdosta,GA,30.8502,-83.2788,55696
Smyrna,GA,33.8633,-84.5168,55663
Phoenix,AZ,33.5722,-112.0892,1650070
Los Angeles,CA,34.0194,-118.4108,3898747
San Diego,CA,32.8312,-117.1225,1386932
Chicago,IL,41.8375,-87.6866,2746388
New York,NY,40.6943,-73.9249,8804190
Philadelphia,PA,40.0077,-75.1339,1603797
Charlotte,NC,35.2083,-80.8303,874579
Nashville,TN,36.1715,-86.7842,689447
Oklahoma City,OK,35.4676,-97.5136,681054
Denver,CO,39.7621,-104.8759,715522
Seattle,WA,47.6211,-122.3244,737015
Las Vegas,NV,36.2333,-115.2654,641903
Portland,OR,45.5372,-122.6500,652503
Columbus,OH,39.9862,-82.9855,905748
Indianapolis,IN,39.7771,-86.1458,887642
